# Program:featureCounts v2.0.0; Command:"featureCounts" "-O" "-t" "gene" "-g" "ID" "-a" "sequence.gff3" "-o" "counts.txt" "mapped/SRR6176429.bam" "mapped/SRR6176430.bam" "mapped/SRR6176431.bam" "mapped/SRR6176432.bam" "mapped/SRR6176433.bam" "mapped/SRR6176434.bam" "mapped/SRR6176435.bam" "mapped/SRR6176436.bam" "mapped/SRR6176437.bam" "mapped/SRR6176438.bam" "mapped/SRR6176439.bam" "mapped/SRR6176440.bam" 
Geneid	Chr	Start	End	Strand	Length	mapped/SRR6176429.bam	mapped/SRR6176430.bam	mapped/SRR6176431.bam	mapped/SRR6176432.bam	mapped/SRR6176433.bam	mapped/SRR6176434.bam	mapped/SRR6176435.bam	mapped/SRR6176436.bam	mapped/SRR6176437.bam	mapped/SRR6176438.bam	mapped/SRR6176439.bam	mapped/SRR6176440.bam
gene-Rv0009	NC_000962.3	12468	13016	+	549	1669	2301	2206	1558	2748	4126	3853	1250	2713	4722	1047	2831
gene-Rv0010c	NC_000962.3	13133	13558	-	426	1496	1818	1741	1581	1955	2176	2378	908	2032	2343	352	1729
gene-Rv0011c	NC_000962.3	13714	13995	-	282	521	889	714	523	978	751	582	406	967	1333	126	1085
gene-Rv0012	NC_000962.3	14089	14877	+	789	1204	1283	1260	1256	1389	1159	1219	745	1492	1968	242	1299
gene-Rv0013	NC_000962.3	14914	15612	+	699	1364	1749	1574	1287	1615	1460	1253	816	1809	2424	349	1777
gene-Rv0014c	NC_000962.3	15590	17470	-	1881	2839	4131	3846	2927	3474	3187	2319	1739	4370	6482	722	4573
gene-Rv0015c	NC_000962.3	17467	18762	-	1296	3637	3996	3677	3188	3410	2983	2933	1795	4004	5410	671	4436
gene-Rv0016c	NC_000962.3	18759	20234	-	1476	2103	2794	2472	2085	2156	2780	1582	1090	2941	5305	603	3292
gene-Rv0017c	NC_000962.3	20231	21640	-	1410	1434	1853	1781	1468	1559	1544	994	752	1878	3113	387	1962
gene-Rv0018c	NC_000962.3	21637	23181	-	1545	2686	3174	3120	2336	2694	2295	2374	1595	3400	5697	603	3863
gene-Rv0019c	NC_000962.3	23270	23737	-	468	1365	1664	1765	1338	1444	1519	1306	791	1963	2819	279	2076
gene-Rv0020c	NC_000962.3	23861	25444	-	1584	8566	10572	11406	9154	11333	13256	9199	5152	12271	20241	2102	13205
gene-Rvnt03	NC_000962.3	25644	25726	+	83	5	13	7	11	10	27	2	3	16	32	8	14
gene-Rv0021c	NC_000962.3	25913	26881	-	969	303	388	381	249	377	472	486	187	370	652	131	530
gene-Rv0022c	NC_000962.3	27023	27442	-	420	12	9	10	7	9	9	6	6	12	25	1	15
gene-Rv0023	NC_000962.3	27595	28365	+	771	211	255	273	219	252	250	133	115	256	610	41	355
gene-Rv0024	NC_000962.3	28362	29207	+	846	365	404	441	406	441	494	343	228	440	1033	68	542
gene-Rv0025	NC_000962.3	29245	29607	+	363	217	231	232	189	248	302	309	136	275	534	58	252
gene-Rv0026	NC_000962.3	29722	31068	+	1347	533	736	641	421	638	672	559	339	738	1499	138	975
gene-Rv0027	NC_000962.3	31189	31506	+	318	143	197	203	177	262	212	145	114	208	398	52	266
gene-Rv0028	NC_000962.3	31514	31819	+	306	178	253	258	206	309	276	175	134	255	520	57	286
gene-Rv0029	NC_000962.3	32057	33154	+	1098	408	496	436	330	486	494	374	211	501	1027	133	747
gene-Rv0030	NC_000962.3	33224	33553	+	330	90	166	137	91	156	152	115	88	162	339	49	169
gene-Rv0032	NC_000962.3	34295	36610	+	2316	148	219	213	172	201	224	162	92	245	383	58	237
gene-Rv0033	NC_000962.3	36607	36870	+	264	17	15	13	13	17	15	15	11	25	50	1	24
gene-Rv0034	NC_000962.3	36867	37262	+	396	19	27	20	14	19	22	23	9	27	31	5	33
gene-Rv0035	NC_000962.3	37259	38947	+	1689	298	397	402	265	384	531	374	173	460	868	101	522
gene-Rv0036c	NC_000962.3	39056	39829	-	774	540	655	596	564	660	812	884	342	650	1452	219	875
gene-Rv0037c	NC_000962.3	39877	41202	-	1326	599	529	592	480	670	591	785	336	508	974	180	593
gene-Rv0038	NC_000962.3	41304	41912	+	609	1140	1373	1175	1021	1354	1233	1519	595	1286	2534	335	1272
gene-Rv0039c	NC_000962.3	42004	42351	-	348	472	423	446	294	456	405	664	210	458	791	117	454
gene-Rv0040c	NC_000962.3	42433	43365	-	933	1763	2269	1874	1149	1793	1940	3180	915	1940	5358	986	2729
gene-Rv0041	NC_000962.3	43562	46471	+	2910	1233	1748	1795	1522	2133	2023	1595	724	1847	3554	417	2011
gene-Rv0042c	NC_000962.3	46581	47207	-	627	327	440	353	289	302	440	389	143	441	756	81	477
gene-Rv0043c	NC_000962.3	47366	48100	-	735	231	333	285	250	360	412	288	148	375	745	82	440
gene-Rv0044c	NC_000962.3	48233	49027	-	795	254	307	251	209	294	294	279	148	379	525	115	337
gene-Rv0045c	NC_000962.3	49043	49939	-	897	1247	1374	1107	1324	1998	642	511	770	1484	1431	371	1288
gene-Rv0046c	NC_000962.3	50021	51124	-	1104	6452	7400	4892	4838	7301	4503	4676	3422	7691	8276	4043	6112
gene-Rv0047c	NC_000962.3	51185	51727	-	543	1426	1704	1016	834	1180	672	710	674	1770	1426	500	1093
gene-Rv0048c	NC_000962.3	51828	52697	-	870	531	654	612	507	684	634	524	282	665	990	243	637
gene-Rv0049	NC_000962.3	52831	53244	+	414	685	953	810	653	804	1170	664	307	926	1391	274	701
gene-Rv0050	NC_000962.3	53663	55699	+	2037	3990	4931	4867	4279	4713	3780	3116	2074	6013	8323	992	4971
gene-Rv0051	NC_000962.3	55696	57378	+	1683	1232	1340	1309	1056	1013	977	723	583	1310	2288	242	1432
gene-Rv0052	NC_000962.3	57410	57973	+	564	307	390	355	255	342	257	256	217	391	723	79	429
gene-Rv0053	NC_000962.3	58192	58482	+	291	392	506	349	465	660	299	160	272	681	1028	190	633
gene-Rv0054	NC_000962.3	58586	59080	+	495	874	1243	885	1056	1580	433	342	518	1385	1481	253	994
gene-Rv0055	NC_000962.3	59122	59376	+	255	515	666	552	766	1277	373	226	320	1059	1041	189	821
gene-Rv0056	NC_000962.3	59409	59867	+	459	1334	1538	1270	1647	2799	732	595	898	2073	2275	364	1836
gene-Rv0057	NC_000962.3	59896	60417	+	522	1139	1519	1243	1077	1796	355	307	911	2077	2587	162	1660
gene-Rv0058	NC_000962.3	60396	63020	+	2625	3540	4954	4277	4050	5624	1811	1152	2473	6186	10702	759	6418
gene-Rv0059	NC_000962.3	63200	63892	+	693	699	1019	1090	782	1074	569	254	538	1224	3524	142	1801
gene-Rv0060	NC_000962.3	63909	64967	+	1059	1904	2582	2610	2176	3487	2117	1575	1373	3184	6799	481	3862
gene-Rv0061c	NC_000962.3	65012	65350	-	339	959	1222	1383	1189	1729	1428	1548	619	1574	2444	357	1715
gene-Rv0062	NC_000962.3	65552	66694	+	1143	280	296	343	294	411	247	265	202	365	679	149	514
gene-Rv0063	NC_000962.3	66923	68362	+	1440	874	1093	1022	629	1097	667	734	542	1138	1530	158	955
gene-Rv0063a	NC_000962.3	68418	68579	+	162	159	264	284	204	273	288	107	84	301	531	53	297
gene-Rv0064	NC_000962.3	68620	71559	+	2940	2150	2956	3005	2254	3273	2184	1587	1844	3589	6445	583	5011
gene-Rv0064A	NC_000962.3	71589	71828	+	240	160	208	148	142	183	180	100	61	269	341	47	198
gene-Rv0065	NC_000962.3	71821	72222	+	402	481	650	532	501	757	678	508	298	820	1108	137	800
gene-Rv0066c	NC_000962.3	72274	74511	-	2238	1480	1974	1765	1934	2232	2219	1458	793	1990	3569	448	2180
gene-Rv0067c	NC_000962.3	74629	75198	-	570	70	121	124	118	142	209	113	70	147	247	15	147
gene-Rv0068	NC_000962.3	75301	76212	+	912	156	186	166	129	186	155	146	112	219	352	67	258
gene-Rv0069c	NC_000962.3	76237	77622	-	1386	523	647	655	452	614	557	474	335	907	1390	249	1028
gene-Rv0070c	NC_000962.3	77619	78896	-	1278	277	383	405	360	555	451	274	235	540	847	160	682
gene-Rv0071	NC_000962.3	79486	80193	+	708	100	128	160	92	148	150	190	50	125	236	43	171
gene-Rv0072	NC_000962.3	80624	81673	+	1050	809	990	937	756	941	971	1103	537	1080	1690	227	1099
gene-Rv0073	NC_000962.3	81676	82668	+	993	837	1014	970	832	1001	826	983	547	1125	2089	256	1220
gene-Rv0074	NC_000962.3	82748	83983	+	1236	662	841	673	616	657	594	692	407	893	1503	194	939
gene-Rv0075	NC_000962.3	83996	85168	+	1173	570	693	648	560	676	520	530	386	777	1328	178	880
gene-Rv0076c	NC_000962.3	85183	85572	-	390	139	187	165	116	217	166	161	92	215	432	69	300
gene-Rv0077c	NC_000962.3	85636	86466	-	831	47	103	107	91	123	96	91	57	85	147	30	138
gene-Rv0078	NC_000962.3	86528	87133	+	606	138	187	203	174	195	236	171	137	234	443	26	354
gene-Rv0078A	NC_000962.3	87208	87801	-	594	702	1085	1158	1102	1827	1429	1407	678	1204	2296	220	1477
gene-Rv0078B	NC_000962.3	87798	88004	-	207	155	268	274	244	270	482	225	106	330	1076	73	373
gene-Rv0079	NC_000962.3	88204	89025	+	822	4617	8425	9656	9767	15662	17135	13901	5878	8027	14849	860	7209
gene-Rv0080	NC_000962.3	89022	89480	+	459	2081	4306	5479	3664	5219	6571	6639	3067	4258	7341	125	4737
gene-Rv0081	NC_000962.3	89575	89919	+	345	784	1548	1710	1024	1233	1398	1590	795	1737	1695	12	1624
gene-Rv0082	NC_000962.3	89924	90403	+	480	890	1534	1607	929	1214	1027	1893	762	2003	2006	18	1779
gene-Rv0083	NC_000962.3	90400	92322	+	1923	1549	2389	2569	1525	1865	1186	2981	1201	3137	2998	24	2665
gene-Rv0084	NC_000962.3	92328	93278	+	951	1262	1683	1666	1169	1583	866	1711	863	2085	1713	18	1787
gene-Rv0085	NC_000962.3	93289	93951	+	663	887	917	1021	809	988	493	870	554	1171	956	15	1162
gene-Rv0086	NC_000962.3	93951	95417	+	1467	1730	1810	2070	1544	2029	1291	1562	1180	2129	2080	58	2498
gene-Rv0087	NC_000962.3	95414	96892	+	1479	848	1179	1293	909	1193	894	697	661	1358	1360	21	1528
gene-Rv0088	NC_000962.3	96927	97601	+	675	1065	1673	1573	1433	1897	1199	996	788	2119	2494	107	2256
gene-Rv0089	NC_000962.3	97758	98351	+	594	734	1052	1085	809	1133	779	651	573	1026	781	48	839
gene-Rv0090	NC_000962.3	98480	99250	+	771	106	136	138	92	152	78	72	79	157	129	13	90
gene-Rv0091	NC_000962.3	99684	100451	+	768	58	71	82	64	84	86	42	36	72	204	34	107
gene-Rv0092	NC_000962.3	100583	102868	+	2286	784	991	1180	1097	1240	1229	781	600	1137	1886	207	1181
gene-Rv0093c	NC_000962.3	102815	103663	-	849	247	306	371	308	449	437	280	166	357	551	51	350
gene-Rv0094c	NC_000962.3	103710	104663	-	954	1	1	4	0	0	1	0	0	5	3	0	2
gene-Rv0095c	NC_000962.3	104805	105215	-	411	51	81	73	29	80	155	66	22	77	73	8	54
gene-Rv0096	NC_000962.3	105324	106715	+	1392	27	62	64	51	69	54	28	16	51	96	10	42
gene-Rv0097	NC_000962.3	106734	107603	+	870	132	221	251	221	261	208	119	84	219	382	61	165
gene-Rv0098	NC_000962.3	107600	108151	+	552	75	151	193	139	178	146	55	60	167	278	27	118
gene-Rv0099	NC_000962.3	108156	109778	+	1623	430	555	667	526	656	385	230	267	611	786	84	444
gene-Rv0100	NC_000962.3	109783	110019	+	237	86	122	139	94	108	97	71	65	126	193	28	131
gene-Rv0101	NC_000962.3	110001	117539	+	7539	2460	3135	3297	2482	2837	2228	1705	1387	2925	5011	518	2866
gene-Rv0102	NC_000962.3	117714	119699	+	1986	1145	1399	1539	1406	1443	1477	1509	703	1516	2543	143	1682
gene-Rv0103c	NC_000962.3	119915	122173	-	2259	1296	1656	1669	1489	1833	1704	1578	777	1775	3119	379	2052
gene-Rv0104	NC_000962.3	122317	123831	+	1515	702	804	843	641	831	725	548	464	994	929	194	394
gene-Rv0105c	NC_000962.3	123980	124264	-	285	28	38	32	26	40	46	25	23	55	64	3	14
gene-Rv0106	NC_000962.3	124374	125570	+	1197	616	1443	2989	777	1809	2358	1295	490	2976	7785	90	1887
gene-Rv0107c	NC_000962.3	125643	130541	-	4899	4249	4522	4251	3173	4540	3561	3687	2122	5779	11960	2141	6871
gene-Rv0108c	NC_000962.3	130895	131104	-	210	593	773	558	408	708	962	1267	232	901	1388	845	1002
gene-Rv0109	NC_000962.3	131382	132872	+	1491	188	148	152	107	128	179	127	65	160	297	53	224
gene-Rv0110	NC_000962.3	133020	133769	+	750	216	218	228	173	225	262	265	116	239	430	68	216
gene-Rv0111	NC_000962.3	133950	136007	+	2058	1878	2112	1989	1267	1720	1017	1109	940	2231	6587	561	3760
gene-Rv0112	NC_000962.3	136289	137245	+	957	279	413	328	232	267	214	126	125	469	767	70	614
gene-Rv0113	NC_000962.3	137319	137909	+	591	188	267	252	158	224	162	126	94	297	467	71	387
gene-Rv0114	NC_000962.3	137941	138513	+	573	140	162	125	121	167	73	60	67	211	380	50	338
gene-Rv0115	NC_000962.3	138513	139673	+	1161	191	253	219	179	230	120	71	140	292	486	61	410
gene-Rv0115a	NC_000962.3	139956	140144	+	189	37	50	36	37	91	47	19	24	51	93	28	116
gene-Rv0116c	NC_000962.3	140267	141022	-	756	300	395	461	358	592	429	383	253	429	947	162	661
gene-Rv0117	NC_000962.3	141200	142144	+	945	198	207	186	144	241	516	474	121	209	336	55	224
gene-Rv0118c	NC_000962.3	142128	143876	-	1749	882	805	635	635	961	2070	1951	488	953	952	168	703
gene-Rv0119	NC_000962.3	144049	145626	+	1578	579	618	499	491	691	891	1138	322	636	580	158	426
gene-Rv0120c	NC_000962.3	145627	147771	-	2145	1416	1598	1249	1243	1907	1309	1449	653	1893	1831	646	1429
gene-Rv0121c	NC_000962.3	147908	148342	-	435	146	194	211	143	236	285	155	51	182	183	24	92
gene-Rv0122	NC_000962.3	148491	148859	+	369	56	85	89	71	107	100	73	33	128	112	19	69
gene-Rv0123	NC_000962.3	148856	149224	+	369	84	103	109	122	160	115	104	49	143	174	22	107
gene-Rv0124	NC_000962.3	149533	150996	+	1464	98	145	95	94	97	134	135	68	157	183	43	117
gene-Rv0125	NC_000962.3	151148	152215	+	1068	1260	1307	1079	941	1534	1125	1364	728	1450	2329	488	1696
gene-Rv0126	NC_000962.3	152324	154129	+	1806	1052	1280	1248	1117	1946	1436	1232	799	1553	3208	358	1993
gene-Rv0127	NC_000962.3	154232	155599	+	1368	909	1067	1136	888	1540	1379	1115	735	1193	2261	251	1413
gene-Rv0128	NC_000962.3	155667	156446	+	780	300	389	344	231	550	358	405	186	453	725	104	531
gene-Rv0129c	NC_000962.3	156578	157600	-	1023	2695	4109	3641	2563	5225	2245	3261	2084	5128	10908	1597	6789
gene-Rv0130	NC_000962.3	157847	158302	+	456	70	78	92	69	117	83	77	51	87	168	36	120
gene-Rv0131c	NC_000962.3	158315	159658	-	1344	206	257	248	238	373	236	188	117	342	562	104	403
gene-Rv0132c	NC_000962.3	159700	160782	-	1083	147	157	175	139	194	233	164	81	185	272	55	192
gene-Rv0133	NC_000962.3	160869	161474	+	606	652	661	657	478	635	682	683	325	616	1052	169	523
gene-Rv0134	NC_000962.3	161771	162673	+	903	1230	1306	1357	1069	1179	1331	1413	629	1461	3137	296	1459
gene-Rv0135c	NC_000962.3	162644	163249	-	606	866	1192	1113	783	1193	1187	1151	595	1134	2370	323	1529
gene-Rv0136	NC_000962.3	163366	164691	+	1326	428	470	389	349	668	632	609	296	565	887	347	593
gene-Rv0137c	NC_000962.3	164712	165260	-	549	261	394	350	210	420	454	405	168	408	950	159	555
gene-Rv0138	NC_000962.3	165323	165826	+	504	178	239	175	110	165	294	226	73	243	556	85	292
gene-Rv0139	NC_000962.3	165827	166849	+	1023	756	864	714	517	779	794	1170	396	852	1657	306	985
gene-Rv0140	NC_000962.3	166910	167290	+	381	485	718	486	364	668	679	753	258	770	1062	174	732
gene-Rv0141c	NC_000962.3	167271	167681	-	411	604	784	523	473	736	822	651	288	901	1269	291	773
gene-Rv0142	NC_000962.3	167711	168637	+	927	807	783	563	528	615	657	906	385	1013	731	192	619
gene-Rv0143c	NC_000962.3	168704	170182	-	1479	971	964	904	800	935	1015	1271	519	1037	1582	272	1000
gene-Rv0144	NC_000962.3	170284	171126	+	843	1754	2390	1691	1229	1871	2152	2120	928	2777	3356	940	2545
gene-Rv0145	NC_000962.3	171215	172168	+	954	3764	4569	3250	2521	4075	4266	4055	2486	4996	4694	1469	3439
gene-Rv0146	NC_000962.3	172211	173143	+	933	2409	2802	2170	1682	2556	2160	2254	1693	3049	2793	539	2207
gene-Rv0147	NC_000962.3	173238	174758	+	1521	2970	3677	3147	3079	4375	2844	2936	1899	4173	4715	828	3415
gene-Rv0148	NC_000962.3	174833	175693	+	861	1723	2043	1872	1930	2340	1993	1712	1079	2640	3124	512	2184
gene-Rv0149	NC_000962.3	175700	176668	+	969	1838	2227	2220	1793	2260	2075	2123	1014	2943	3584	556	2444
gene-Rv0150c	NC_000962.3	176665	176952	-	288	239	244	268	224	320	226	246	164	317	434	72	283
gene-Rv0151c	NC_000962.3	177543	179309	-	1767	240	342	312	206	348	336	270	147	410	717	92	455
gene-Rv0152c	NC_000962.3	179319	180896	-	1578	161	211	204	146	195	228	172	96	245	548	70	331
gene-Rv0153c	NC_000962.3	181155	181985	-	831	461	563	660	532	931	644	515	397	659	1222	159	812
gene-Rv0154c	NC_000962.3	181987	183198	-	1212	736	855	832	705	1105	965	678	447	998	1692	247	1060
gene-Rv0155	NC_000962.3	183622	184722	+	1101	749	824	821	669	655	913	818	274	808	990	163	530
gene-Rv0156	NC_000962.3	184723	185055	+	333	407	618	540	504	687	563	532	212	695	939	141	565
gene-Rv0157	NC_000962.3	185052	186479	+	1428	3308	3833	3870	4005	4090	3297	2706	1788	4115	5443	728	3453
gene-Rv0157A	NC_000962.3	186495	186623	-	129	267	429	425	354	487	466	215	133	455	635	133	410
gene-Rv0158	NC_000962.3	186785	187429	+	645	476	768	660	468	553	752	372	280	757	1198	110	760
gene-Rv0159c	NC_000962.3	187433	188839	-	1407	530	834	646	387	535	581	379	294	776	1090	126	800
gene-Rv0160c	NC_000962.3	188931	190439	-	1509	44	64	57	45	55	67	38	22	78	98	25	78
gene-Rv0161	NC_000962.3	190607	191956	+	1350	137	136	147	142	218	230	226	99	193	262	24	169
gene-Rv0162c	NC_000962.3	191984	193135	-	1152	209	178	172	140	205	240	271	120	175	342	60	197
gene-Rv0163	NC_000962.3	193117	193572	+	456	107	144	125	98	185	169	242	77	131	357	66	196
gene-Rv0164	NC_000962.3	193626	194111	+	486	874	968	787	644	1094	1642	2064	582	1007	2291	497	1367
gene-Rv0165c	NC_000962.3	194144	194815	-	672	1167	1381	955	685	1063	1307	1939	651	1296	1989	615	1606
gene-Rv0166	NC_000962.3	194993	196657	+	1665	3788	4468	2431	2050	2769	1587	3447	1281	5145	8280	4148	6734
gene-Rv0167	NC_000962.3	196861	197658	+	798	4834	5414	4798	4188	6230	3352	4381	3099	6612	10551	2557	8570
gene-Rv0168	NC_000962.3	197660	198529	+	870	2547	2786	2679	2207	3121	1765	1847	1693	3430	7215	1382	5615
gene-Rv0169	NC_000962.3	198534	199898	+	1365	4287	6092	5425	4327	6494	3835	3089	2188	7461	16921	2585	10330
gene-Rv0170	NC_000962.3	199895	200935	+	1041	3805	5726	5373	4747	6355	4184	3047	2386	7869	17046	2127	10423
gene-Rv0171	NC_000962.3	200932	202479	+	1548	6500	9334	9062	6750	10214	7053	5362	3857	11614	26851	3798	16801
gene-Rv0172	NC_000962.3	202476	204068	+	1593	6994	11208	10876	7807	11088	7272	5986	4200	13822	27324	3746	18033
gene-Rv0173	NC_000962.3	204065	205237	+	1173	5727	7916	7337	5758	7735	5169	5055	3279	10002	19993	2812	12947
gene-Rv0174	NC_000962.3	205231	206778	+	1548	12278	18320	14892	11655	15750	11606	11434	7040	22098	36757	5658	25580
gene-Rv0175	NC_000962.3	206814	207455	+	642	6352	8109	7012	5574	6918	4445	5968	3819	9010	12411	2047	9691
gene-Rv0176	NC_000962.3	207452	208420	+	969	3570	4143	3807	3127	3117	2082	2078	2023	5059	7920	843	5833
gene-Rv0177	NC_000962.3	208417	208971	+	555	3469	4710	4123	3381	3562	2541	2116	1706	6060	9492	814	6630
gene-Rv0178	NC_000962.3	208938	209672	+	735	3724	4906	4394	3364	4580	2939	3188	2331	5576	9268	1027	6699
gene-Rv0179c	NC_000962.3	209703	210812	-	1110	2384	3341	3122	1869	2398	2453	2577	1116	3367	6329	575	3821
gene-Rv0180c	NC_000962.3	210892	212250	-	1359	660	749	719	622	805	754	765	415	860	1586	199	858
gene-Rv0181c	NC_000962.3	212277	213011	-	735	504	604	575	486	778	577	445	339	615	1307	102	749
gene-Rv0182c	NC_000962.3	213028	214140	-	1113	720	825	899	783	1075	766	680	540	899	1850	210	1027
gene-Rv0183	NC_000962.3	214088	214927	+	840	525	676	658	479	706	748	698	281	697	1484	155	698
gene-Rv0184	NC_000962.3	214969	215718	+	750	885	969	846	690	909	917	982	602	1081	1974	193	1100
gene-Rv0185	NC_000962.3	215715	216224	+	510	759	639	550	526	713	464	697	427	721	1156	155	681
gene-Rv0186	NC_000962.3	216269	218344	+	2076	4228	3975	2870	2864	5177	2181	3815	3066	5267	10560	1254	6227
gene-Rv0186A	NC_000962.3	218390	218551	-	162	702	686	375	423	1073	421	693	502	1007	4135	385	1387
gene-Rv0187	NC_000962.3	218705	219367	+	663	396	468	397	356	523	458	451	263	504	1005	85	555
gene-Rv0188	NC_000962.3	219486	219917	+	432	868	940	892	1056	1430	1138	907	446	1330	1799	192	1135
gene-Rv0189c	NC_000962.3	219996	221723	-	1728	3160	3374	2984	3093	3606	3094	4080	1718	3846	4371	599	3013
gene-Rv0190	NC_000962.3	221871	222161	+	291	631	782	609	465	958	591	920	452	1065	4026	249	1836
gene-Rv0191	NC_000962.3	222289	223530	+	1242	1221	1093	943	799	1346	776	1211	954	1239	2696	226	1619
gene-Rv0192	NC_000962.3	223564	224664	+	1101	2102	2473	2050	1553	2826	2322	3012	1380	2731	3361	458	2092
gene-Rv0193c	NC_000962.3	224724	226571	-	1848	560	643	526	414	631	459	618	335	659	562	98	441
gene-Rv0194	NC_000962.3	226878	230462	+	3585	198	214	191	179	212	225	195	108	253	327	75	212
gene-Rv0195	NC_000962.3	230899	231534	+	636	29	39	29	36	48	33	18	29	36	29	6	64
gene-Rv0196	NC_000962.3	231647	232231	+	585	147	138	125	131	111	56	42	104	120	101	19	144
gene-Rv0197	NC_000962.3	232231	234519	+	2289	778	844	716	785	982	563	442	531	806	1041	202	1034
gene-Rv0198c	NC_000962.3	234516	236507	-	1992	1654	2080	2072	1516	2667	2813	2917	1049	2357	4983	712	3141
gene-Rv0199	NC_000962.3	236550	237209	+	660	390	461	461	430	575	622	561	256	430	723	86	405
gene-Rv0200	NC_000962.3	237206	237895	+	690	955	1057	1243	1099	1477	1545	1361	774	1167	1554	185	1005
gene-Rv0201c	NC_000962.3	237892	238395	-	504	1114	1184	1298	1148	1434	1394	1450	875	1321	1488	272	1286
gene-Rv0202c	NC_000962.3	238392	241292	-	2901	3882	4278	4119	3457	4466	4369	4084	2215	4382	5771	1112	3843
gene-Rv0203	NC_000962.3	241514	241924	+	411	345	529	424	337	446	449	311	185	574	701	111	466
gene-Rv0204c	NC_000962.3	241976	243214	-	1239	1308	1398	1397	1304	1359	1053	1283	651	1820	2387	294	1445
gene-Rv0205	NC_000962.3	243384	244487	+	1104	844	1209	1006	772	847	878	643	471	1345	1846	247	1254
gene-Rv0206c	NC_000962.3	244484	247318	-	2835	13502	15688	13488	11534	14492	10291	13541	7486	17608	23295	4129	16058
gene-Rv0207c	NC_000962.3	247384	248112	-	729	2288	3069	2417	1686	2465	2698	2787	1151	3396	5752	1118	2896
gene-Rv0208c	NC_000962.3	248115	248906	-	792	1099	1280	907	533	878	1156	1488	480	1448	2073	634	1139
gene-Rv0209	NC_000962.3	249038	250123	+	1086	251	265	261	204	196	238	232	130	234	423	99	311
gene-Rv0210	NC_000962.3	250120	251598	+	1479	152	185	222	161	205	190	229	94	205	367	85	263
gene-Rv0211	NC_000962.3	251782	253602	+	1821	5984	9909	11144	9930	14126	24190	16126	5234	11258	13980	1225	9512
gene-Rv0212c	NC_000962.3	253669	254640	-	972	797	1162	1205	872	1254	3091	2724	574	1433	1271	104	978
gene-Rv0213c	NC_000962.3	254637	255950	-	1314	441	649	597	551	727	682	422	340	845	915	108	714
gene-Rv0214	NC_000962.3	256064	257677	+	1614	362	475	466	369	482	436	301	225	532	695	81	477
gene-Rv0216	NC_000962.3	258913	259926	+	1014	193	225	221	192	279	177	159	101	243	399	64	311
gene-Rv0217c	NC_000962.3	259923	260831	-	909	210	295	258	244	322	238	193	142	336	448	52	254
gene-Rv0218	NC_000962.3	260924	262252	+	1329	174	215	164	155	188	197	169	77	191	358	46	216
gene-Rv0219	NC_000962.3	262254	262802	+	549	38	34	31	31	46	39	33	14	47	59	9	35
gene-Rv0220	NC_000962.3	262812	264023	+	1212	2873	3291	3360	2789	3512	3778	4081	1540	3486	8961	1123	5216
gene-Rv0221	NC_000962.3	264067	265476	+	1410	1396	1556	1669	1421	1453	1482	1524	836	1818	4891	323	3092
gene-Rv0222	NC_000962.3	265507	266295	+	789	738	842	779	626	734	631	847	361	888	1970	185	1254
gene-Rv0223c	NC_000962.3	266301	267764	-	1464	452	667	514	452	635	543	715	314	681	1082	171	678
gene-Rv0224c	NC_000962.3	267863	268627	-	765	172	218	150	128	216	243	204	99	200	248	48	172
